Date,ARKG,ARKK,ARKQ,ARKW,ARKF,SPY,QQQ,IJH,IJR,VUG,VTV
3-19-2020,27.01,37.81,29.41,46.43,18.3,240.51,177.66,131.13,51.72,145.35,84.03
3-20-2020,27.16,37.85,28.92,45.96,17.95,228.8,170.7,126.27,49.78,139.61,80.05
3-23-2020,26.98,38.35,28.95,47.15,18.08,222.95,170.46,121.75,49.11,137.53,76.76
3-24-2020,29.99,42.15,31.19,51.74,19.74,243.15,183.66,134.86,53.38,149.83,84.27
3-25-2020,30.79,43.79,31.74,52.84,20.35,246.79,182.3,138.4,53.59,151.14,85.82
3-26-2020,32.63,45.97,33.25,54.98,21.18,261.2,191.9,146.15,57.27,158.85,90.5
3-27-2020,31.36,43.76,32.33,52.76,20.37,253.42,185.3,141.81,54.96,153.78,88.11
3-30-2020,31.97,44.6,32.99,53.51,20.71,261.65,192.04,145.39,56.25,158.92,90.81
3-31-2020,31.28,44,33.16,52.73,20.39,257.75,190.4,143.86,56.11,156.69,89.06
4-1-2020,29.13,40.24,31.01,49.12,19.23,246.15,182.31,135.43,52.19,149.64,85.23
4-2-2020,30.09,40.49,30.99,48.96,19.31,251.83,186.01,136.88,52.92,152.34,87.44
4-3-2020,29.79,40.2,30.76,48.1,18.82,248.19,183.37,133.18,50.99,150.4,86.11
4-6-2020,31.79,44.18,33.59,52.63,20.6,264.86,196.48,143.9,55.15,161.54,91.25
4-7-2020,31.48,44.22,33.26,53.27,20.83,265.13,196.4,145.61,55.48,161.15,91.59
4-8-2020,32.56,46.01,34.23,55.28,21.57,274.03,200.57,153.19,58.01,166.04,95.3
4-9-2020,33.3,47.29,35,56.46,21.84,278.2,200.86,158.05,61.02,167.74,97.37
4-13-2020,33.53,47.85,35.21,57.42,21.84,275.66,203.03,153.43,58.92,167.65,95.53
4-14-2020,35.52,50.38,36.79,60.31,22.69,283.79,211.86,156.57,59.95,173.98,97.74
4-15-2020,35.05,49.56,36.14,59.93,22.34,277.76,209.43,150.38,57.2,171.29,95.02
4-16-2020,36.21,50.6,36.45,60.95,22.45,279.1,213.25,150.22,56.74,173.13,94.87
4-17-2020,37.41,52.26,37.41,61.92,22.93,286.64,215.29,155.66,59.32,176.37,98.19
4-20-2020,38.56,52.8,37.05,62.09,23.03,281.59,212.74,152.68,58.13,173.73,96.28
4-21-2020,37.75,50.61,35.64,59.34,22.31,273.04,204.89,148.71,56.89,167.85,93.61
4-22-2020,38.92,52.42,36.71,62.11,23.2,279.1,210.97,150.74,57.29,173,95.03
4-23-2020,38.78,52.01,36.42,61.69,23.11,279.08,210.52,152.4,58.01,172.7,95.2
4-24-2020,40.06,53.06,36.95,62.93,23.42,282.97,213.84,154.51,58.72,175.29,96.37
4-27-2020,41.92,55.64,38.69,64.96,23.89,287.05,215.56,161.04,61.22,177.05,98.36
4-28-2020,40.59,54.05,38.34,63.01,23.48,285.73,211.5,162.61,62.58,174.77,98.81
4-29-2020,41.81,56.63,40.42,66.3,24.48,293.21,219,169.47,66.07,180.44,100.72
4-30-2020,40.69,55.33,39.45,65.69,24.22,290.48,218.91,164.18,63.35,180.32,98.56
5-1-2020,39.85,52.38,37.38,62.89,23.62,282.79,212.74,158.66,60.74,175.59,95.89
5-4-2020,41.18,54.31,38.02,64.93,23.87,283.57,215.22,158.83,60.52,177.35,95.57
5-5-2020,41.57,55.06,38.47,65.94,24.25,286.19,217.66,160.32,60.68,179.54,96.11
5-6-2020,41.8,55.33,39.2,66.79,24.52,284.25,219,158.97,59.96,179.94,94.69
5-7-2020,42.01,56.6,39.56,70,25.64,287.68,221.82,161.71,60.81,182.78,95.4
5-8-2020,43.23,58.3,40.98,71.54,26.34,292.44,224.86,167.38,63.39,185.06,97.59
5-11-2020,46.07,59.68,41.07,71.74,26.48,292.5,226.87,166.23,62.23,186.3,96.97
5-12-2020,45.14,58.16,40.1,70.42,26.06,286.67,222.12,160.27,59.92,182.49,94.95
5-13-2020,43.14,56.33,39.41,69.02,25.8,281.6,219.34,154.79,57.62,180,92.91
5-14-2020,42.54,56.25,39.61,70.05,26.16,284.97,221.83,156.4,57.84,181.57,94.32
5-15-2020,44.89,58.09,40.14,71.01,26.26,286.28,223.27,157.7,58.62,183.15,94.3
5-18-2020,47.05,59.88,42.31,71.83,26.7,295,227.43,167.31,62.8,187.32,97.97
5-19-2020,46.61,59.82,42.1,72.49,26.86,291.97,226.86,165.04,61.52,186.5,96.31
5-20-2020,48.13,61.82,43.25,74.13,27.53,296.93,231.39,168.59,63.44,190.05,97.86
5-21-2020,48.18,61.98,43.23,73.66,27.34,294.88,228.87,169.42,63.5,188.54,97.17
